name,country,industry,grade_latest,grade_dec2022,action_type,in_dec2022_snapshot,action_text
Booking,United States,Consumer Discretionary,A,B,suspended,yes,Suspended operations in Russia
Boreo,Finland,Industrials,A,,sold,no,Fully exit Russia after selling its operations
Bose,United States,Information Technology,A,A,suspended,yes,stop all product shipments
Boskalis,Netherlands,Industrials,A,A,other,yes,exit Russian  Arctic LNG 2 project
Breitling SA,Switzerland,Consumer Discretionary,A,,sold,no,Fully exit Russia after selling its operations
Bristol-Myers Squibb,United States,Health Care,A,D,sold,yes,transfer business and exit completely
British American Tobacco,United Kingdom,Consumer Staples,A,A,other,yes,exit Russian operations
British Petroleum (BP),United Kingdom,Energy,A,,sold,no,Will divest from 20% Rosneft stake
British Standards Institution (BSI),United Kingdom,Industrials,A,A,other,yes,terminate all contractual relations &amp; discontinue services in Russia
Broadridge Financial Solutions,United States,Financials,A,,sold,no,Fully exit Russia after selling its operations
Bruker,United States,Industrials,A,,suspended,no,Ceased operations in Russia
Brunel,Netherlands,Industrials,A,,sold,no,Fully exit Russia after selling its operations
Bryan Cave,United States,Industrials,A,A,other,yes,exit Russian operations; local partners and counsel form new firms
Bumble,United States,Communication Services,A,A,other,yes,remove apps from app stores
Bunge,United States,Consumer Staples,A,C,sold,yes,Sold Russian Business
CBC,Canada,Communication Services,A,,other,no,Cease all reporting from Russia and all presence
CCC,Poland,Consumer Discretionary,A,B,sold,yes,Left Russia. Sold Subsidary
CD Projekt,Poland,Communication Services,A,B,other,yes,Halts all sales of products in Russia &amp; Belarus
CERN,Switzerland,NGO,A,B,other,yes,Will end cooperation with Russia in 2024
CFA Institute,United States,NGO,A,,other,no,Cease all business in Russia
CMA CGM,France,Industrials,A,B,other,yes,Completes Russia Exit
CMS,Germany,Industrials,A,A,other,yes,transfer Russian practice to local partners and counsel
CRH,Ireland,Materials,A,A,sold,yes,withdrawal from Russia
Cadence,United States,Information Technology,A,A,other,yes,terminate operations in Russia
Calrec,United Kingdom,Consumer Discretionary,A,,other,no,Cease all commercial activity with Russia
Canara,India,Financials,A,,sold,no,Fully exit Russia after selling its operations
Canva,Australia,Information Technology,A,A,sold,yes,withdraw from Russia
Cargotec,Finland,Industrials,A,B,other,yes,Ramped Down Business
Carlsberg,Denmark,Consumer Staples,A,A,sold,yes,Finalises Russian asset sale to local buyer
Carnival,United States,Consumer Discretionary,A,A,other,yes,discontinue Russia itineraries
Caverion,Finland,Industrials,A,,sold,no,Withdrew from Russia
Centrica,United Kingdom,Utilities,A,A,other,yes,exit gas supply partnership with Gazprom
Chanel,France,Consumer Discretionary,A,B,suspended,yes,Stopped selling in Russia and to those with intent to sell in Russia
Chapman Freeborn,United Kingdom,Industrials,A,A,other,yes,Cease business operation in Russia
Charles Schwab,United States,Financials,A,,other,no,Limit access to Russian capital markets
Ciech,Poland,Materials,A,A,suspended,yes,suspended Russian exports
Cisco,United States,Information Technology,A,A,sold,yes,orderly wind down Russian operations
Citi,United States,Financials,A,B,other,yes,Ending all its institutional banking services and ATMs in Russia
Clarivate,United Kingdom,Industrials,A,A,other,yes,exit Russian operations
Cleaves,Norway,Financials,A,,suspended,no,Fully stop all business in Russia
Clifford Chance,United Kingdom,Industrials,A,A,sold,yes,wind down operations in Moscow; local partners and counsels form own firm
Colliers,Canada,Real Estate,A,A,other,yes,discontinue business in Russia
Columbus,Denmark,Information Technology,A,,sold,no,Withdrew from Russia
Comarch,Poland,Information Technology,A,A,other,yes,halts orders from Russia &amp; Belarus
Commvault,United States,Information Technology,A,,sold,no,fully wind down Russian business
Compass Group,United Kingdom,Consumer Staples,A,A,other,yes,permanently exit Russian market
Compass Mining,United States,Financials,A,,other,no,Terminate all Russian partnerships and business
Coop,Switzerland,Financials,A,A,sold,yes,fully divest Russian operations Transgourmet via management buyout
Corteva,United States,Consumer Staples,A,,other,no,Stoped production and business activities in Russia
Coty,United States,Consumer Staples,A,A,sold,yes,wind down Russian business
Covestro,Germany,Materials,A,A,suspended,yes,Ceased Business Activity in Russia
Cummins,United States,Industrials,A,A,other,yes,exit Russian operations
Currency.com,United Kingdom,Financials,A,A,other,yes,halting operations for residents of Russian
Cushman &amp; Wakefield,United States,Real Estate,A,,other,no,close office in Russia; transfer to local partner
Cyfrowy Polsat,Poland,Communication Services,A,A,other,yes,removing Russian TV channels from the offer
DDB,United States,Materials,A,A,other,yes,exit Russian operations
DLA Piper,United States,Industrials,A,A,sold,yes,withdrawing from Russia
DMG Mori,Japan,Industrials,A,B,sold,yes,Withdrew business in Russia
DP Eurasia,Netherlands,Consumer Staples,A,,other,no,Closure of Russian Business
DPD,Germany,Industrials,A,A,sold,yes,withdrawal from the Russian market
DWS,Germany,Financials,A,,other,no,End Russian products
DXC Technology,United States,Information Technology,A,A,other,yes,leaving Russia completely
Daikin,Japan,Industrials,A,,other,no,End all Russian business
Danfoss,Denmark,Industrials,A,A,sold,yes,exit Russia completely
Dechert,United States,Industrials,A,A,other,yes,close Russian office
Deezer,France,Communication Services,A,A,other,yes,discontinue services in Russia
Deichmann,Germany,Consumer Discretionary,A,A,sold,yes,withdraw from Russia
Dell,United States,Information Technology,A,B,suspended,yes,Ceased all operations
Deloitte,United States,Industrials,A,A,other,yes,leaving Russia completely; local office launched own firm
Delta Air Lines,United States,Industrials,A,A,sold,yes,withdraw codeshare services with Aeroflot
Dentsu International,United Kingdom,Communication Services,A,A,sold,yes,divest joint venture/leave Russia
Deugro,Germany,Industrials,A,,sold,no,Fully exit Russia after selling its operations
Deutsche Bank,Germany,Financials,A,A,sold,yes,wind down business in Russia
Deutsche Telekom,Germany,Communication Services,A,A,other,yes,close Russian business
Digicert,United States,Information Technology,A,,suspended,no,Fully stop all business in Russia
Dino Polska,Poland,Consumer Staples,A,A,other,yes,removed Russian products
Docker,United States,Information Technology,A,,other,no,End all business in Russia
Domino's Pizza,United States,Consumer Discretionary,A,D,other,yes,Closure of Russian Business
Donaldson Company,United States,Industrials,A,C,other,yes,Terminated Operations
Dr. Oetker,Germany,Consumer Staples,A,A,other,yes,stops sales and production in Russia; transferred ownership of production facilities
Draftkings,United States,Consumer Discretionary,A,,other,no,Limit business access in Russia
Duisburger Hafen,Germany,Industrials,A,,other,no,End all shipments with Russia and Belarus
ELA Container,Germany,Industrials,A,F,sold,yes,Sold Russian subsidary. Exiting market
ELKO Group,Latvia,Information Technology,A,A,other,yes,leave Russia
ENEOS,Japan,Energy,A,A,other,yes,discontinue purchases of Russian crude
EPAM,United States,Information Technology,A,A,other,yes,discontinue servicing Russian customers
EY,United States,Industrials,A,A,other,yes,leaving Russia completely
EarthDaily Analytics,United States,Industrials,A,A,other,yes,terminate operations in Russia
Eastnine,Sweden,Industrials,A,,sold,no,Fully exit Russia after selling its operations
Edeka,Germany,Consumer Staples,A,A,other,yes,remove Russian food from store shelves
Ejot,Germany,Industrials,A,,sold,no,Withdrew from Russia
Electronic Arts,United States,Communication Services,A,A,other,yes,make new game purchases unavailable in Russia
Elisa Esports,Finland,NGO,A,A,other,yes,ban Russian teams from participating in tournaments
Elopak,Norway,Materials,A,B,sold,yes,Fully exit Russia after selling its operations
Emerson Electric,United States,Industrials,A,A,other,yes,exit Russian business
Endeavour Group,Australia,Consumer Staples,A,,suspended,no,Stop transacting with all Russian products
Enel,Italy,Utilities,A,A,sold,yes,divest from the entire Russian stakes
EnerSys,United States,Industrials,A,,other,no,End Russian operations
Energizer,United States,Industrials,A,,sold,no,Fully exit Russia after selling its operations
Eni,Italy,Energy,A,C,sold,yes,suspend stipulation of new oil contracts; divest from investments for rubles
Equinor,Norway,Energy,A,A,other,yes,exit joint ventures in Russia
Espersen,Denmark,Consumer Staples,A,,sold,no,Fully exit Russia after selling its operations
Essity,,,A,,sold,no,Divested its operations in Russia
Etsy,United States,Consumer Discretionary,A,A,other,yes,deactivate all listings from Russian sellers
Euroins,Bulgaria,Financials,A,,sold,no,Fully exit Russia after selling its operations
Euronet Worldwide,United States,Financials,A,,other,no,Closed locations in Russia
Eurovision,United Kingdom,NGO,A,A,other,yes,ban on all Russian competition
Eversheds Sutherland,United Kingdom,Industrials,A,A,other,yes,close Russia office; transfer Russia practice to local partners and counsels
Evonik,Germany,Materials,A,A,sold,yes,withdraw from Russia
Expedia,United States,Consumer Discretionary,A,A,suspended,yes,Suspend bookings in Russia
Exxonmobil,United States,Energy,A,,other,no,exit Rosneft partnership
FICO,United States,Information Technology,A,A,other,yes,exiting all work in Russia
FL Smidth,Denmark,Industrials,A,D,other,yes,No longer any activities in Russia
FMC Corporation,United States,Materials,A,A,other,yes,discontinue all business and operations
Fantasy Premier League,United Kingdom,Consumer Discretionary,A,,suspended,no,Suspend all users from Russia
Faurecia | Forvia,France,Consumer Discretionary,A,,other,no,Faurecia has decided to disengage from Russia and completed depreciation of related assets
Fazer,Finland,Consumer Staples,A,A,sold,yes,exit Russia
Fennovoima,Finland,Energy,A,A,other,yes,terminate Russian nuclear power plant project
Fiskars,Finland,Consumer Discretionary,A,A,sold,yes,withdraw completely from the Russian market
Five9,United States,Information Technology,A,,other,no,Fully close all Russian operations
Flowserve,United States,Industrials,A,A,sold,yes,exit Russia completely
Fonterra,New Zealand,Consumer Staples,A,A,other,yes,exit its businesses in Russia
Ford,United States,Consumer Discretionary,A,A,sold,yes,Sold Joint Venture
Formula One,United Kingdom,Communication Services,A,A,other,yes,terminate contract with the Russian Grand Prix promoter
Fortum,Finland,Utilities,A,A,other,yes,exit Russian market
Freedom Holding,Kazakhstan,Financials,A,A,sold,yes,Sold Russian subsidiaries
Freshfields,United Kingdom,Industrials,A,A,sold,yes,closing business in Russia
Fugro,Netherlands,Industrials,A,B,suspended,yes,suspend all projects in Russia
Fujifilm,Japan,Information Technology,A,D,suspended,yes,Suspended some shipments
G2A,Netherlands,Communication Services,A,A,other,yes,block marketplace for Russian users
GC Rieber,Norway,Industrials,A,,other,no,Fully end all Russian business
GM,United States,Consumer Discretionary,A,B,suspended,yes,suspend all shipments to Russia
GXO Logistics,United States,Industrials,A,D,other,yes,Ended business
Galp,Portugal,Energy,A,B,suspended,yes,suspend Russian oil-product purchases; eliminate Russian exposure
Game Insight,Lithuania,Consumer Discretionary,A,,other,no,Fully liquidate Russian operations
Gameloft,France,Information Technology,A,A,other,yes,make company's games unavailable in Russia
Garmin,United States,Consumer Discretionary,A,C,suspended,yes,stop all future trade with Russia
Gaz-System,Poland,Utilities,A,A,suspended,yes,stopped gas imports
Geberit,Switzerland,Industrials,A,B,other,yes,discontinue all operations in Russia
Georg Fischer,Switzerland,Industrials,A,C,other,yes,Ended its trading operations in Russia and closed office in Moscow
Gerry Weber,Germany,Consumer Discretionary,A,,sold,no,Sold Russian Business
Gett,Israel,Industrials,A,,other,no,Fully terminate all Russian business
Global Fashion Group,Luxembourg,Consumer Discretionary,A,F,sold,yes,Fully exit Russia after selling its operations
Global Foundries,United States,Information Technology,A,A,suspended,yes,suspend all shipments to Russia
GoDaddy,United States,Information Technology,A,A,other,yes,discontinue all Russian services
Goodvalley,Denmark,Consumer Staples,A,,sold,no,Fully exit Russia after selling its operations
Gowling,Canada,Industrials,A,A,suspended,yes,Stopped business in Russia
Grant Thornton,United States,Industrials,A,A,sold,yes,closing business in Russia
Grid Dynamics,United States,Information Technology,A,A,sold,yes,close offices in Russia &amp; cease all operations
Grundfos,Denmark,Industrials,A,A,other,yes,Closes business in Russia and Belarus
H&amp;M,Sweden,Consumer Discretionary,A,,sold,no,Winding down business entirely
HP Enterprise (Independent from HP Inc.),United States,Information Technology,A,A,sold,yes,exit Russia &amp; Belarus
HP Inc.,United States,Information Technology,A,A,other,yes,shut down business in Russia
Halewood,United Kingdom,Consumer Staples,A,,other,no,Fully pull out of Russia
Halliburton,United States,Energy,A,A,other,yes,No longer conducts operations in Russia
Halyk Bank,Kazakhstan,Financials,A,,sold,no,Fully exit Russia after selling its operations
Hampidjan,Iceland,Industrials,A,F,sold,yes,full withdrawal
Haniel,Germany,Materials,A,A,other,yes,unwind all Russian business
Hansgrohe,Germany,Consumer Discretionary,A,,other,no,cease all activities with Russia
Hard Rock Café,United States,Consumer Staples,A,D,other,yes,fully close all stores in Russia
Harvia,Finland,Consumer Discretionary,A,,sold,no,Withdrew from Russia
Hays plc,United Kingdom,Industrials,A,A,other,yes,close Russian business
Hearst Communications,United States,Communication Services,A,A,other,yes,terminate the licensing agreements &amp; turn over its equity to Russian subsidiary
Heidrick &amp; Struggles,United States,Industrials,A,,suspended,no,ceased all operations in Russia
Heineken,Netherlands,Consumer Staples,A,A,sold,yes,Sold all operations in Russia
Heinzmann,Germany,Industrials,A,,other,no,End all Russian deliveries
Hempel,Denmark,Industrials,A,A,sold,yes,exit Russia
Henkel,Germany,Consumer Staples,A,A,other,yes,exit business activities in Russia
Herbert Smith Freehills,Australia,Industrials,A,A,other,yes,Ended operations in Russia; local partners and counsels open independent firm
Hertz,United States,Consumer Discretionary,A,A,sold,yes,completely withdrawn from Russia
Hesburger,Finland,Consumer Discretionary,A,A,sold,yes,withdraw from Russia
Hogan Lovells,United Kingdom,Industrials,A,A,other,yes,exit Russian operations
Holcim,Switzerland,Materials,A,A,other,yes,exit Russian market completely
Home Credit,Czech Republic,Financials,A,,sold,no,Fully exit Russia after selling its operations
Honeywell,United States,Industrials,A,B,sold,yes,Wind down all business
Hortex,Poland,Consumer Staples,A,,sold,no,Fully exit Russia after selling its operations
Houthoff,Netherlands,Industrials,A,A,other,yes,terminate all relationships with Russia
Huhtamaki,Finland,Materials,A,A,sold,yes,divest Russian operations
Hypertherm Associates,Netherlands,Industrials,A,,other,no,Fully close all Russian offices
Hyve,United Kingdom,Consumer Discretionary,A,,sold,no,Withdrew from Russia
IBM,United States,Information Technology,A,A,sold,yes,wind down business in Russia
ID Logistics,France,Industrials,A,D,other,yes,Ended all activity in Russia
IDEXX Labs,United States,Health Care,A,A,sold,yes,wind down operations &amp; liquidate subsidiary
IMAX,Canada,Consumer Discretionary,A,,sold,no,Fully exit Russia
IMCD,Netherlands,Industrials,A,A,sold,yes,withdraw from Russia completely
IMI Plc,United Kingdom,Materials,A,,sold,no,Withdrew from Russia
ISS,Denmark,Industrials,A,A,sold,yes,ISS divested its Russian activities during March and is no longer active in Russia
Icosagen,Estonia,Industrials,A,D,other,yes,Ended business in Russia and Belarus
Ikea,Sweden,Consumer Discretionary,A,A,sold,yes,Closed stores and sold factory.
Imperial Brands,United Kingdom,Consumer Staples,A,A,other,yes,transfer Russian business to local partners
InPost,Poland,Industrials,A,A,suspended,yes,stop purchasing services/goods from Russian &amp; Belorussian companies
Inchcape,United Kingdom,Industrials,A,,sold,no,Withdrew from Russia
Incoff Aerospace,Slovakia,Industrials,A,A,other,yes,no longer trade with the Russians
Inditex,Spain,Consumer Discretionary,A,B,suspended,yes,close Russian stores and suspend sales
Infineon,Germany,Information Technology,A,A,other,yes,liquidate Russian entity
Insydium,United Kingdom,Industrials,A,,other,no,Forgo all Russian licenses
Intercontinental Exchange,United States,Financials,A,A,other,yes,curtail Russian access to capital markets
Intercontinental Hotels (IHG),United Kingdom,Consumer Discretionary,A,A,suspended,yes,Ceased operations in Russia
International Biathlon Union,Austria,NGO,A,C,other,yes,Russians to compete as neutral athletes
International Boxing Federation,France,NGO,A,A,other,yes,ban on all Russian competition
International Cat Federation,Canada,NGO,A,A,other,yes,ban Russian cats from competitions
International Cycling Union,United States,NGO,A,A,other,yes,ban on all Russian competition
International Ice Hockey Federation,Switzerland,NGO,A,A,other,yes,ban on all Russian competition
International Olympic Committee,Switzerland,NGO,A,A,other,yes,ban Russian athletes from competing
International Paper,United States,Materials,A,F,sold,yes,Fully exit Russia after selling its operations
International Paralympic Committee,Germany,NGO,A,B,other,yes,bar Russian athletes
International Skating Union,Switzerland,NGO,A,A,other,yes,ban on all Russian competition
International Weightlifting Federation,Switzerland,NGO,A,A,other,yes,ban on all Russian competition
Interpublic Group,United States,Communication Services,A,A,other,yes,exit Russian operations
Intracom Telecom,Greece,Communication Services,A,,sold,no,Withdrew from Russia
Iveco,Italy,Industrials,A,C,sold,yes,Fully exit Russia after selling its operations
J Sainsbury,United Kingdom,Consumer Staples,A,A,other,yes,remove products from Russia
JD Sports,United Kingdom,Consumer Discretionary,A,B,suspended,yes,suspend operations in Russia
JKX,United Kingdom,Energy,A,,other,no,Disposing of all its Russian assets
JLL,United States,Real Estate,A,A,other,yes,separate operations in Russia
JYSK,Denmark,Consumer Discretionary,A,B,other,yes,temporarily close Russian stores
Jabil,United States,Information Technology,A,A,other,yes,closed its site in Russia
Jamie Oliver,United Kingdom,Consumer Staples,A,A,other,yes,exit franchise agreement
Jan de Nul,Luxembourg,Industrials,A,A,sold,yes,close rep office and withdraw ships
JetBrains,Czech Republic,Information Technology,A,A,suspended,yes,suspend all activity indefinitely
John Wood Group,United Kingdom,Industrials,A,A,sold,yes,withdraw from Russia
Johnson Matthey,United Kingdom,Materials,A,,other,no,leave Russia and end all business there
Jotun,Norway,Materials,A,,suspended,no,Suspend business in Russia
Jägermeister,Germany,Consumer Staples,A,A,suspended,yes,Fully stopped business in Russia
KION Group,Germany,Industrials,A,F,sold,yes,Fully exit Russia after selling its operations
KLP,Norway,Financials,A,A,other,yes,exit all investment holdings in Russia
KPMG,United States,Industrials,A,A,other,yes,leaving Russia completely
Kalnapilis-Taurus,Lithuania,Consumer Staples,A,A,other,yes,termination of export ties and production in Russian Market
Kamstrup,Denmark,Utilities,A,,sold,no,Completely exit Russia
Kearney,United States,Industrials,A,A,sold,yes,officially withdrawn from Russia
Kelly,United States,Industrials,A,A,other,yes,leave Russia &amp; transition operations
Kemira,Finland,Consumer Discretionary,A,A,sold,yes,exit Russia completely
Kennametal,United States,Industrials,A,,sold,no,Completely exit Russia
Kennedys,United States,Industrials,A,,sold,no,Fully exit Russia
Kesko,Finland,Consumer Staples,A,B,sold,yes,Withdrawn all business
Kiilto,Finland,Materials,A,A,sold,yes,fully exited from Russia
Kingspan,Ireland,Industrials,A,A,sold,yes,exit Russia
Kinross Gold,Canada,Materials,A,A,other,yes,complete exit from Russia by selling Russian operations
Knorr-Bremse,Germany,Industrials,A,A,other,yes,will not deliver any more products or systems for Russian locomotives; end JVs
Koch Industries,United States,Industrials,A,A,other,yes,sell Russian business to a local enterprise
Kofax,United States,Information Technology,A,A,other,yes,curtail all sales of software and close sites in Russia
Koskisen,Finland,Industrials,A,,sold,no,Fully exit Russia after selling its operations
Krispy Kreme,United States,Consumer Discretionary,A,A,sold,yes,winding down business in Russia
L'Occitane,France,Consumer Discretionary,A,A,other,yes,exit Russian operations
LVMH,France,Consumer Discretionary,A,B,other,yes,end all operations in Russia
Lamb Weston,United States,Consumer Staples,A,A,other,yes,exit Russian market
Latham &amp; Watkins,United States,Industrials,A,,sold,no,wind down Russian presence
Lear Corporation,United States,Consumer Discretionary,A,C,sold,yes,fully exit Russia
Legrand,France,Industrials,A,F,other,yes,Left Russia
Leica Camera AG,Germany,Information Technology,A,B,sold,yes,Fully withdrawn from Russia
Leptos Estates,Cyprus,Real Estate,A,F,other,yes,Operations closed down in Russia
Lifan,China,Consumer Discretionary,A,,sold,no,Fully exit Russia
Lincoln Electric,United States,Industrials,A,A,suspended,yes,ceased all operations
Lindab,Sweden,Industrials,A,,sold,no,Fully exit Russia after selling its operations
Lindstrom Group,Finland,Consumer Discretionary,A,,sold,no,Withdrew from Russia
Lindt-Sprungli,Switzerland,Consumer Staples,A,B,suspended,yes,suspend operations in Russia
Linklaters,United Kingdom,Industrials,A,A,other,yes,"end operations in Russia, with entities connected to the Russian state; local partners and counsel form own firm"
Lloyd's Register,United Kingdom,Industrials,A,A,sold,yes,withdraw services to Russia
Logitech,Switzerland,Information Technology,A,B,suspended,yes,suspend shipments to Russia
London Stock Exchange Group,United Kingdom,Financials,A,A,other,yes,curtail Russian access to capital markets
Lufthansa,Germany,Industrials,A,A,suspended,yes,suspended flights and ended Russian aircraft maintenance
Luxoft,Switzerland,Information Technology,A,A,other,yes,exit Russian market
LyondellBasell,Netherlands,Materials,A,C,other,yes,end all business
MAN,Germany,Industrials,A,B,other,yes,"end delivery, supply of trucks, and sales to Russia"
MSCI,United States,Financials,A,A,other,yes,curtail Russian access to capital markets
MSU S.A.,Poland,Consumer Discretionary,A,A,suspended,yes,ceased all business activities in Russia
Maersk,Denmark,Industrials,A,B,sold,yes,Divested all assets from Russia
Makrochem SA,Poland,Industrials,A,F,other,yes,Terminated all business with its Russian and Belarussian counterparts
Mannheimer Swartling,Sweden,Industrials,A,B,other,yes,end all operations
Mantsinen,Finland,Industrials,A,,sold,no,Fully exit Russia after selling its operations
Marsh McLennan,United States,Financials,A,A,sold,yes,exit operations in Russia
Marugame,Japan,Consumer Staples,A,,sold,no,Fully exit Russia and end all franchises operating in Russia
Maxima,Lithuania,Consumer Discretionary,A,,other,no,Fully remove all Russian products and end Russian business
Mayr-Melnhof,United Kingdom,Materials,A,,sold,no,Fully exit Russia after selling its operations
McCain Foods,Canada,Consumer Staples,A,B,other,yes,end operations in Russia
McDonald's,United States,Consumer Discretionary,A,A,sold,yes,leave the Russian market &amp; sell Russian business
McKinsey,United States,Industrials,A,A,other,yes,exit Russian market completely
Mercedes-Benz,Germany,Consumer Discretionary,A,A,suspended,yes,Stopped manufacturing and exporting and will sell shares in subsidies
MessageBird,Netherlands,Information Technology,A,A,other,yes,"shut down API access, block SMS and voice traffic to Russian carriers"
Mondi,United Kingdom,Materials,A,A,other,yes,sell Russian assets
Monroe Energy,United States,Energy,A,A,suspended,yes,stop imports of Russian crude oil
Moog Inc.,United States,Industrials,A,A,other,yes,exit Russian operations
Moose Toys,Australia,Consumer Discretionary,A,,other,no,Ended all shipments to Russia
Morgan Advanced Materials,United Kingdom,Industrials,A,A,other,yes,cease all trading with Russia.
Morgan Lewis,United States,Industrials,A,A,other,yes,close Russian offices
Morrisons,United Kingdom,Consumer Staples,A,A,other,yes,remove products from Russia
NCAB Group AB,Sweden,Industrials,A,A,sold,yes,sold assets and ceased operations in Russia
NTT Data,Japan,Information Technology,A,A,sold,yes,exit Russia
Nasdaq,United States,Financials,A,A,other,yes,curtail Russian access to capital markets
Naspers,South Africa,Consumer Discretionary,A,A,sold,yes,Ended Operations. Sold Avito.
